Roman-Urdu,Urdu
mulawis,ملوث
label,لیبل
rab,راب
adil,عادل
saadgimeri,سادگی
alluring,الليرنگ
kahawat,کہاوت
grand,گرانڈ
naak,ناک
request,ریکوۓسٹ
taso,تصو
money,مونيي
yun,یوں
save,سیو
sadayein,صدیاں
purchase,کونیکشن
deadmen,ڈیڈ
nikali,نکالی
dia,دیاہے
nt,ناٹ
sobia,ثوبیہ
broadcast,براڈکاسٹ
khamosh,خاموش
pashtoonpa,پشتون
nadan,نادان
rangon,رنگوں
1,1
tabah,تباہ
kick,کوکک
idea,آیڈیا
qasmein,قسمیں
giri,گری
dora,دورہ
loun,لونگی
tukry,ٹکڑے
sami,سمیع
no,نو
panjtani,پنج
ranjhay,رانجھے
thek,ٹھیک
malika1hahaha,ملکہ
lamhon,لمحوں
occupy,وکيپي
year,یہر
soe,سوے
chupa,چھپا
jigar,جگر
dolat,دولت
chore,چوڑیاں
guhmne,گھومنے
khair,خیر
q,کیو
hone,هونے
chuma,چوما
gari,گاڑی
saas,ساس
mita,مٹا
dehshat,دہشت
all,اہل
hal,هال
taliban,طالبان
yesmanhi,یاسمین
lvrslyk,سلیک
point,پوانٹ
sene,سینے
badnasib,بدنصیب
anda,انڈا
loto,لوٹو
zingoo,زنگو
charh,چڑھ
wa,وا
aarzi,عارضی
iqraar,اقرار
sirf,صرف
friends,فرئینڈز
muna,مونا
nikleq,کھولا
aahn,آہن
rakhy,رکھنے
bekar,بیکار
yon,یوح
me,مجہمیں
dress,ڈريس
zariyhe,ذریعے
bhag,بھاگ
chaghi1islamabd,چاغی
jal,جل
may,مءی
chutti,چھٹی
hakeem,حکيم
rafaqatainye,رفیق
amanat,امانت
knowledge,کنوليڈج
traz,طرار
bhai,بهای
wese,ویسے
kaha,کہا
khudai,کھدائی
queen,قوین
siddique,صدیق
gaz,گز
halak,ہلاک
kasrat,کثرت
puri,پوری
rehna,رخان
apps,ایپس
lago,لگو
uska,اسکا
qabil,قابل
batil,باطل
baatein,باتيں
azaan,ازاں
smarty,سمرتی
baaz,باز
amxamix,اکیس
somra,سومرا
achank,اچانک
dekho,دیکھو
dhagabolajalta,جلتا
rooh,روح
jawan,جوان
kursi,کرسی
barf,برف
paper,پیپر
aya,آیا
god,گاڈ
maheboob,محبوب
hansa,ہنسا
,نان
bhaio,بندی
gobhi,گوبھی
hain,هيں
dard,درد
duarani,دورانی
owaisshah89,اویس
abuse,ایبیوز
quetta,کویٹا
ab,آب
juka,جکا
khuram,ہلکا
kadar,کدر
lagi,لگی
involve,انوولو
agr,اگر
motor,موٹر
hogi,ہوگی
guftugo,گفتگو
roye,روتے
jami,جامی
aasaib,آسیب
enter,اانہ
paglon,پاگلوں
akeli,اکیلی
date,ڈیٹ
nikalty,نکلتے
bhai,بهئی
maro,مارو
hotel,حوٹيل
khwabon,خوابوں
wazu,وضو
naha,نها
faqiron,فقروں
elan,الان
dhalti,ڈھلتی
mazak,مزاق
qaboliat,قبولیت
z,زی
wazahteinkesi,وضاحتیں
year,يير
janab,جناب
contrary,کونٹراري
playboy,پلے
milte,ملتے
na,نا
advance,ایڈوانس
dino,دنو
send,سند
shrt,شرط
kiran,کرن
dil,دیک
8,8
tmhary,تمھارے
mana,منع
drna,ڈرنا
education,تعلیم
chat,چیٹ
sare,سارے
chocklate,چوک
khayal,خیال
tamana,تمنا
chairman,چیرمین
time,ٹایم
khaya,کھایا
labour,لیبر
your,يوار
lakeerain,لکیریں
nzaron,نظروں
c,سی
resham,ریشم
7,7
ehsan,احسان
wat,واٹ
sahi,صحیح
take,ٹیک
bardasht,برداشت
she,شي
kejye,کیجیے
mercy7halka,مرسی
satana,ستان
arzi,ارضی
mza,مزہ
ashk,اشک
madaar,مدار
memon,میمن
abid,عابد
for,فور
phr,پهر
time,ٹٔم
uchalna,اچھلنا
hui,هوی
ani,آنی
hyrat,حیرت
muqably,مقابلے
hi,ہی
sunehri,سنہری
hychain,چين
shoo,شو
300,300
rai,راۓ
abi,ابی
bhang,بھنگ
allah,اللہ
urdu,اردو
wahey,وہے
pehle,پہلے
such,سچح
suna,سونا
pakistani,پاکستانی
glass,گلاس
angelzz,اینجلس
smjho,سمجھو
shabash,شاباش
grandmother,گرانڈمودر
sakti,سکتی
of,آف
yhi,یہیں
wish,وش
aqbanhi,عقبہ
kalaam,کلام
paon,پاؤں
karobar,کاروبار
leni,لینی
kinare,کناروں
jafri,جعفری
chekoo5,چیکو
dair,دائر
tumko,تمکو
wadi,وادي
bro,برو
bus,بستی
bugs,بگذ
izhaar,اظہار
server,سيرٔور
jaweria,جویریہ
chahoge,چاہوگے
khilta,کھلتا
122,122
rakh,رکھ
girls,گرلز
mobile,مو
market,مارکیٹ
dant,ڈانٹ
unhon,انہوں
shahd,شھد
neelam,نیلم
haqeeqat,حقیقت
surkh,سرخ
matdalnablkymasjid,ڈالنا
zain,زین
khushi,خشک
chating,چیٹنگ
sight,سٔٹ
yardhamkian,دھمکیاں
july,جوﻻٔي
msg,میسیج
report,رپورٹ
terakhushian,خشیاں
babies,ببیز
sahilli,سہیلی
function,فنکشن
peace,پیس
be¤hak,بیشک
manual,مینوئل
nazim,نظم
song,سونگ
uthte,اٹھتے
sis,سیس
aadat,عادت
alyia,عالیہ
heard,حيرڈ
saf,صف
floor,فلور
ata,اتا
ghamon,غموں
ache,ااچھے
rebel,ریبل
idot,دوٹ
gaoon,گاؤں
pure,پیور
soulzy,سول
nt,نٹ
abdullah,عبدللہ
asim,اسم
pehchantay,پہچانتے
king,کنگ
lipstick,سٹک
imran,عمران
kasor,قصور
hainaurkhwahishat,خواہشات
guzari,گزاری
laal,لال
tbiyt,طبعیت
zeal,زیل
rule,رول
thafarishton,فرشتوں
happy,ہیپی
aridian,عیدین
saki,سکی
chutti,چھوتی
kuta,کتا
sahi,سہی
mareez,مریض
ajar,اجر
khuda,خدا
twist2q,وسط
allhamdo,حمد
tough,ٹوف
path,پاتھ
farooq,فاروق
hunger,حينجر
mukhalfat,مخالفت
shuru,شورو
farz,فرض
espnstaraseer,اسیر
bol,بول
seven,سئون
khabrii,خبری
humsafar,ہمسفر
wade,وادے
exam,امتحان
zulm,ظلم
bojh,بوجھ
loha,لوھا
unlawful,انلاوفيل
load,لوڈ
hira,حرا
stas,ستاس
only,ونلي
stati,ستاتی
tabdeel,تبدیل
goreela786ali,گوریلا
kya,کیا
budai,بدی
ghamgeen,غمگین
barabar,برابر
table,ٹابل
torna,توڑنا
mafia,مافیا
breast,بريسٹ
khara,کھڑا
thehro,ٹھہرو
abdul,عبدل
center,سنٹر
zaeef,ضعیف
seekh,سیکھ
mitro,میٹرو
garmiyon,گرمیوں
yahan,یہاں
shame,شیم
azad,آزاد
cherry,چه
rahbar,رہبر
nechy,نیچے
kahin,کہیں
utar,اتار
oarh,اوڑھ
sfjan2,سف
udhar,ادھار
khu,خو
hosly,حوصلے
tm,تم
aaon,آوں
kahon,کہوں
bye,باےکرنے
aienay,آئینے
asif,آصف
maa,ماں
nawway,نوے
kat'te,کاٹتے
morgunmeri,مورگن
baagh,باغ
box,باکس
ko,کو
tarmeem,ترمیم
mene,مینے
atif23,23
lagta,لگاتا
pencil,پينسل
tayar,تیار
diljaly,جلے
australiya,آسٹریلیا
unknown,انکنون
ledy,لیڈی
usay,اسے
krna,کرنا
raat,را
khe,کھائی
lohe,لوہے
b,بهے
zard,زرد
wakeel,وکیل
chhupy,چھپے
hon,ھوں
assassin,اساسن
kinara,کنارا
dugna,دگنا
uthen,اٹھیں
aabi,آبی
6urte,اڑتے
ban,بن
chorna,چھوڑنا
mo,موہ
software,سافٹوئر
crazy,کراذي
individual,انڈودوال
shayad,شاید
lagao,لگاؤ
godh,گود
sukun,سکون
hasb,حسب
nibha,نبھا
msg,مسیج
sun,سُن
marne,مارنے
mangal,منگل
42,42
kamyam,یاب
hashmi,ہاشمی
boby786,بوبی
husband,ہسبنڈ
btana,بتانا
lambi,لمبی
aam,عام
loveurajj,راج
punhchy,پہنچے
tanz,طنز
bt,بت
mola,مولا
ge,گي
bahar,باهر
edwward,ایڈورڈ
ston,ستوں
bara,عبرت
romantic,رومانٹک
silent,سلینتھ
super,سوپر
nashta,ناشتے
bojhal,بوجھل
pyari,پیاری
musalsal,مسلسل
give,گِو
jumla,جملہ
lena,لینا
har,ہر
imam,امام
wang,ونگ
sohail,سہیل
dita,دتا
mehdood,محدود
jisnay,نسخے
karao,کراؤ
purana,پرانا
narm,نرم
balance,بیلنس
sog,سوگ
frndskidunya,کیدو
bar,بر
he,ہیںک
akhtar,اختر
itna,اتنا
my,مائے
1farista,فرشتہ
exam,اِگزیمز
thanks,اپسے
moun,منہ
aini,آئینی
gine,گنے
problem,پروبليم
pia,پیا
parhata,پڑھاتا
july,جيلي
bye,بائے
thokar,ٹھوکر
yad,یاد
entery,انٹری
time,تمی
fauran,فورا
krta,کرتاتھا
ata,آتا
thukrate,ٹھکراتے
srdar,سردار
four,فوار
jaga,جگہ
november,نؤومبير
tota,ٹوٹا
himmat,ہمّت
nikle,نکلے
fly,فلے
gusa,غصے
milenge,ملیں
pakaane,پکانے
14,14
leti,لیتی
charaghoon,چراغوں
kehne,کہنے
mubarik,مبارک
journey,جاورنيي
maloom,معلوم
daad,داد
mitti,مٹی
appearance,اپپيرانس
diamondguyisay,گاہے
naqal,نقل
wisaal,وصال
ahem,اہم
sham,شام
wasalam,وسلام
me,مے
ta,تاکہ
shikaryr,ہیکر
bujha,بجھا
sunaen,سنائیں
nywayx,ویز
bjana,بجانا
cheyia,چیا
mehrabpur,مہراب
hmry,مستقبل
ten,ٹين
soin,سوئیں
hisab,حساب
change,چینج
waar,وار
tare,تارے
tayari,تیاری
rozana,روزانہ
sanbhal,سنبھال
bhai,انکالاب
mit,مٹ
jokes,جوکز
hand,حانڈ
payenge,پیئیں
above,ابؤو
team,ٹیم
bikhar,بکھر
rakho,رکھو
stain,سٹين
habitation,حابٹاشن
sahara,سہارا
wel,ویل
ponch,پہنچا
kundi,کنڈی
private,پرائویٹ
aftr,آفٹر
rahe,رھے
guy,گائز
lag,لاگ
missing,مسنگ
borng,بورنگ
cheen,چھین
ukar,اکھاڑ
chawal,چاول
pakaya,پکایا
baba,بابا
always,الوايز
sawal,سوال
sad,صد
inteha,انتہا
with,وِد
grief,گريف
aam,آم
grandfather,گرانڈفادر
han,ہان
ise,سبق
cricket,کرکيٹ
bahadur,بہادر
masaail,مسائل
nklne,نکلنا
prna,پڑنا
t,ت
saturday,سيٹيرڈے
kis,کس
halaal,حلال
ufone,فون
kitty,کٹی
kbighbra,گھبرا
chatni,چٹنی
qabristan,قبرستان
jaaongajo,جاونگا
hyye,ه
uni,یونی
aisi,ایسی
drop,ڈراپ
tasleem,تسلیم
haishams1,شمس
zaroori,ضروری
ilan,اعلان
dobara,دوبارہ
wapda,واپڈا
apun,اپن
nigahein,نگاہیں
can,کین
darogh,دروغ
hykabi,هي
ljp,لپ
bia,بیا
phasa,پھنسا
english,انگلش
situation,سٹياشن
wha,وت
fool,فول
jitne,جتنے
halaat,حالات
include,انکليڈي
sehta,سہتا
lucky,یوکی
garmi,گرمی
tuesday,ٹييسڈے
dhoop,دھوپ
nagri,نگری
hawale,حوالے
beet,بیت
burey,برے
sikandar,سکندر
us,يس
9,9
sahara,سہا
nazdeek,نزدیک
kot,کوٹ
hona,ہونا
romantic,رومںٹک
gye,گئے
details,ڈیٹیل
tohmat,تہمت
maaon,ماؤں
enjoy,انجواے
gana,گانا
daiyo,دیو
han,ہاں
wahan,وهاں
lahoriye,لاہوری
ba,با
faseeh,فصیح
ghost,گوسٹ
asghar,اصغر
hamla,حملہ
gudaljesani,عدل
hear,حير
syed,سييڈ
wohi,وہی
date,ڈيٹ
kismat,کیف
private,پرائیویٹ
heart,ہارٹ
sara,ساره
uthaya,اٹھایا
asalam,السلام
pohanch,پہنچ
junoon,جنون
ghuroor,غرور
tauras,ٹورس
treat,ٹریٹ
laso,لاس
shiddat,شدت
sep,ستمبر
meri,میری
timing,ٹم
khatme,کرپشن
sub,صب
jarga,جرگہ
salme,صوبہ
khumaini,خمینی
cricket,کرکٹ
tournament,ٹاورنامنٹ
shap,شپ
honey,ہنی
honey,ہونی
doobte,ڈوبتے
out,آوٹ
punkxx,پنک
yar,یارر
saman1,سمن
iran,ایران
huq,حق
ari,اڑی
hon,ہهو
usne,اسنے
gila,گلہ
rabica,ربیکا
interested,انٹرسٹد
mehngai,مہنگائی
young,ياونگ
shadeed,شدید
judai,جدائی
cncrtrate,توجہ
access,اکسيس
married,مررید
mashghalay,ہزاروں
command,کمانڈ
maat,مات
question,کويسشن
pe,پہ
physical,پحيسکال
boond,بوند
memon,ميمون
phela,پهلا
position,پوزیشن
one,ون
shuhrat,شہرت
roki,روکی
bichare,بیچارے
dehleez,دہلیز
bike,بائیک
kholi,کھلی
paiso,پیسوں
bikhri,بکھری
torch,ٹارچ
marry,مارري
behn,بین
ma,امن
shakhs,شخص
panga,پنگا
jado,جدو
hurt,ہرٹ
pochty,پوچھتے
bety,بیٹے
janta,جانتا
muscles,مسلّز
hoga,ھوگا
guzra,گزرا
thkron,ٹھوکروں
bibi,بیبی
chuno,چنو
vania,ار
yahya,ياحيا
dia,دیا
kapre,کپڑے
